time,T_Nor,T_Sou,T_Eas,T_Wes,T_Cor,T_out,Q_sol
18144000.0,298.3269868950159,298.70214209014443,298.6911769511036,299.2100662064691,298.47243644120044,290.95,0.0
18147600.0,298.2753185540868,298.64498285041316,298.63541599065707,299.1453802190245,298.4603172812638,290.95,0.0
18151200.0,298.19712783084987,298.50405134062675,298.54000699683235,298.97139081037454,298.42610553107244,288.75,0.0
18154800.0,298.14260519335613,298.47045841389547,298.46719450450394,298.99088992357053,298.42277398840235,289.25,0.32042253521126757
18158400.0,298.1071279955221,298.41331875803405,298.40683464685134,298.9361842317936,298.4145848445512,288.75,8.156429316640585
18162000.0,298.14506614792725,298.4275196236213,298.4941087036794,298.92750531752154,298.4215088579553,289.84999999999997,77.98621632996633
18165600.0,296.93820959921993,297.18718306031764,297.19092472222314,297.5595676925121,296.8549192216936,293.15,197.26882836990598
18169200.0,296.9260229819063,297.15866683392426,297.2717744856015,297.4726430646872,296.7390857796561,295.95,311.3563387423935
18172800.0,297.59417888378596,297.8388507110097,297.9716631432042,298.0553036347751,297.3299366536403,297.04999999999995,473.2769607843137
18176400.0,297.92196059728275,298.2754001924851,298.4272527649118,298.32656315915744,297.58643812276824,298.75,693.089231004902
18180000.0,298.1493342795421,298.6555327372827,298.6343209153764,298.50604406130134,297.7398706653009,300.95,822.3402157738095
18183600.0,298.3362550326721,298.96531385103566,298.6876090061163,298.6517471694836,297.85835663344153,302.54999999999995,770.9397321428571
18187200.0,298.3852272023607,299.0838299111191,298.68729137563275,298.73736711213996,297.861971442069,302.04999999999995,708.4528779644269
18190800.0,298.7453046933242,299.4327841635246,298.95251411703225,299.2094464560155,298.18683538738213,301.45,676.0071914800176
18194400.0,298.86404488320136,299.5454097216078,299.029553093783,299.5576872205793,298.32178449103935,302.04999999999995,563.994191919192
18198000.0,298.96509550480437,299.569810026578,299.0976980575697,299.72582756262557,298.41097968995894,302.04999999999995,328.37032590051456
18201600.0,298.9842642359884,299.54862290281045,299.0737246462415,299.7560180855221,298.438311012978,302.04999999999995,182.56301354230067
18205200.0,298.6592064380101,299.1553415900461,298.71166342958173,299.4126456312091,298.0738019860565,301.45,89.37056150698123
18208800.0,298.21403880400703,298.66398158842185,298.22781124532224,298.92785429027066,297.6197321061478,299.84999999999997,14.507462686567166
18212400.0,299.6023540292097,299.98786626038407,299.7672364677113,300.21596164285154,299.22479630833067,298.75,0.0
18216000.0,299.57106057942093,299.93407308571665,299.7458142473272,300.1591747030643,299.2339676691218,297.54999999999995,0.0
18219600.0,299.52833480056853,299.8689689389954,299.7062067655665,300.09280707950904,299.2252552279814,297.04999999999995,0.0
18223200.0,299.45974678576385,299.78963247183253,299.64607657736,300.0158337687252,299.2057685137712,295.34999999999997,0.0
18226800.0,299.3907876516811,299.74688461515274,299.5882057144894,299.9438791392016,299.18710323231403,294.84999999999997,0.0
18230400.0,299.2937458850349,299.70789723826067,299.5130293642759,299.86572909682195,299.17250063784167,292.54999999999995,0.0
